State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
Missouri,Taney County,Small town,11.8%,1.9%
Georgia,Habersham County,Small town,11.8%,2.1%
New Mexico,Union County,Rural area,11.8%,5.4%
Alabama,Coffee County,Small town,11.8%,1.2%
Alaska,Aleutians East Borough,Rural area,11.8%,2.4%
New Hampshire,Coos County,Small town,11.8%,1.8%
Alaska,Ketchikan Gateway Borough,Small town,11.8%,1.7%
California,Sacramento County,Metro area,11.8%,0.4%
Indiana,Starke County,Rural area,11.8%,2.1%
Pennsylvania,Warren County,Small town,11.8%,1.2%
Texas,Motley County,Rural area,11.8%,5.2%
Arkansas,Craighead County,Metro area,11.8%,1.4%
Mississippi,Newton County,Rural area,11.8%,2.1%
Virginia,Middlesex County,Rural area,11.8%,3.4%
Illinois,Clay County,Rural area,11.7%,2.2%
Iowa,Webster County,Small town,11.7%,1.5%
California,Sutter County,Metro area,11.7%,1.4%
Missouri,Phelps County,Small town,11.7%,1.9%
Tennessee,Stewart County,Metro area,11.7%,3.2%
Texas,Rusk County,Metro area,11.7%,2.0%
North Carolina,Yadkin County,Metro area,11.7%,2.0%
Ohio,Hamilton County,Metro area,11.7%,0.4%
Oregon,Wallowa County,Rural area,11.7%,2.6%
Colorado,Montezuma County,Rural area,11.7%,2.6%
Arkansas,Hempstead County,Small town,11.7%,2.7%
North Carolina,Pender County,Metro area,11.7%,1.8%
Ohio,Lorain County,Metro area,11.7%,0.6%
Kentucky,Edmonson County,Metro area,11.7%,3.2%
Virginia,Surry County,Rural area,11.7%,4.0%
Washington,Pierce County,Metro area,11.7%,0.5%
Louisiana,Lafayette Parish,Metro area,11.7%,1.0%
Georgia,Chatham County,Metro area,11.6%,0.8%
North Carolina,Yancey County,Rural area,11.6%,2.0%
Kentucky,Carlisle County,Rural area,11.6%,2.8%
Utah,Sevier County,Rural area,11.6%,2.3%
Louisiana,Vernon Parish,Small town,11.6%,1.1%
Iowa,Jasper County,Metro area,11.6%,1.8%
Alabama,Monroe County,Rural area,11.6%,2.6%
Oklahoma,Tulsa County,Metro area,11.6%,0.4%
Wisconsin,Burnett County,Rural area,11.6%,1.5%
Mississippi,Lamar County,Metro area,11.6%,2.4%
Texas,Hardeman County,Rural area,11.6%,4.0%
Washington,Skagit County,Metro area,11.6%,0.9%
Georgia,Fulton County,Metro area,11.6%,0.5%
Minnesota,Ramsey County,Metro area,11.6%,0.5%
Georgia,Barrow County,Metro area,11.6%,1.5%
Georgia,Fannin County,Rural area,11.6%,2.4%
Oklahoma,Washita County,Rural area,11.6%,2.2%
Pennsylvania,Susquehanna County,Rural area,11.6%,1.2%
Florida,Leon County,Metro area,11.6%,0.7%
Washington,Whatcom County,Metro area,11.6%,1.0%
Illinois,Mercer County,Metro area,11.5%,1.8%
Texas,Fisher County,Rural area,11.5%,3.4%
Kansas,Crawford County,Small town,11.5%,1.6%
New Mexico,Lincoln County,Small town,11.5%,2.7%
Georgia,Walton County,Metro area,11.5%,1.4%
Illinois,Cass County,Rural area,11.5%,2.3%
Arkansas,Searcy County,Rural area,11.5%,3.1%
Virginia,Washington County,Metro area,11.5%,1.6%
Illinois,Boone County,Metro area,11.5%,2.2%
Alabama,Lauderdale County,Metro area,11.5%,1.3%
Missouri,Greene County,Metro area,11.5%,0.8%
Illinois,Hancock County,Small town,11.5%,1.6%
Missouri,Montgomery County,Rural area,11.5%,2.5%
Arkansas,Newton County,Small town,11.5%,3.7%
Texas,Palo Pinto County,Small town,11.5%,2.1%
Michigan,Midland County,Metro area,11.5%,1.2%
Kentucky,Ballard County,Small town,11.5%,3.5%
Iowa,Monroe County,Rural area,11.5%,3.4%
West Virginia,Jefferson County,Metro area,11.5%,1.6%
California,Tehama County,Small town,11.5%,1.7%
Illinois,Jasper County,Rural area,11.5%,3.4%
Kentucky,McLean County,Metro area,11.5%,2.8%
Arkansas,Madison County,Metro area,11.5%,2.4%
North Carolina,Ashe County,Rural area,11.5%,2.2%
Virginia,Lexington city,Rural area,11.5%,4.9%
Mississippi,Tishomingo County,Rural area,11.5%,2.8%
North Carolina,Haywood County,Metro area,11.5%,1.8%
Virginia,Staunton city,Metro area,11.5%,2.2%
Texas,Live Oak County,Rural area,11.5%,3.2%
Michigan,Manistee County,Rural area,11.5%,1.5%
California,Mendocino County,Small town,11.4%,1.3%
Texas,Burleson County,Metro area,11.4%,3.0%
Michigan,Cass County,Metro area,11.4%,1.4%
Virginia,Harrisonburg city,Metro area,11.4%,1.7%
Minnesota,Swift County,Rural area,11.4%,2.4%
Mississippi,Tate County,Metro area,11.4%,2.3%
Ohio,Licking County,Metro area,11.4%,0.9%
Michigan,Branch County,Small town,11.4%,1.4%
Wisconsin,Bayfield County,Rural area,11.4%,1.4%
California,Mariposa County,Rural area,11.4%,3.0%
Washington,Thurston County,Metro area,11.4%,0.7%
Ohio,Williams County,Rural area,11.4%,1.8%
Mississippi,Lincoln County,Small town,11.4%,2.5%
Kentucky,Henry County,Metro area,11.4%,2.2%
Kentucky,Logan County,Rural area,11.4%,2.2%
Kentucky,Gallatin County,Metro area,11.4%,3.4%
Missouri,Newton County,Metro area,11.4%,1.6%
Washington,Clark County,Metro area,11.4%,0.6%
Kentucky,Franklin County,Small town,11.4%,1.8%
Mississippi,Marion County,Rural area,11.4%,2.5%
New York,Richmond County,Metro area,11.4%,0.7%
Michigan,Mason County,Small town,11.4%,1.8%
Wisconsin,Dunn County,Small town,11.4%,1.2%
Georgia,Douglas County,Metro area,11.4%,1.5%
Georgia,Walker County,Metro area,11.4%,1.7%
Texas,Martin County,Metro area,11.3%,6.0%
Texas,Hill County,Rural area,11.3%,1.5%
Michigan,Mackinac County,Rural area,11.3%,2.4%
Wisconsin,Washburn County,Rural area,11.3%,1.4%
New Jersey,Salem County,Metro area,11.3%,1.6%
South Dakota,Clay County,Small town,11.3%,3.6%
Iowa,Louisa County,Rural area,11.3%,2.7%
Michigan,Ionia County,Metro area,11.3%,1.4%
New Mexico,Santa Fe County,Metro area,11.3%,0.9%
Georgia,Camden County,Small town,11.3%,1.6%
South Carolina,Aiken County,Metro area,11.3%,1.2%
Kentucky,Trigg County,Metro area,11.3%,3.2%
Texas,Van Zandt County,Rural area,11.3%,1.6%
Nevada,Lyon County,Small town,11.3%,1.7%
Kansas,Anderson County,Rural area,11.3%,4.0%
Idaho,Minidoka County,Small town,11.3%,2.6%
Kansas,Wilson County,Rural area,11.3%,2.4%
Wisconsin,Waushara County,Rural area,11.3%,1.2%
Colorado,Phillips County,Rural area,11.3%,3.8%
Virginia,Suffolk city,Metro area,11.2%,1.1%
Virginia,Page County,Rural area,11.2%,2.4%
West Virginia,Berkeley County,Metro area,11.2%,1.5%
Missouri,Lafayette County,Metro area,11.2%,2.5%
Georgia,Oglethorpe County,Metro area,11.2%,2.9%
Kentucky,Simpson County,Rural area,11.2%,2.8%
Virginia,Colonial Heights city,Metro area,11.2%,2.9%
Kentucky,Bourbon County,Metro area,11.2%,2.3%
Oklahoma,Bryan County,Small town,11.2%,1.4%
Minnesota,Polk County,Metro area,11.2%,1.9%
Kansas,Brown County,Rural area,11.2%,2.1%
Missouri,Worth County,Rural area,11.2%,5.5%
Tennessee,Overton County,Small town,11.2%,2.4%
Texas,Wood County,Rural area,11.2%,1.4%
Nebraska,Dodge County,Small town,11.1%,1.8%
Texas,Lubbock County,Metro area,11.1%,0.8%
Wisconsin,Marquette County,Rural area,11.1%,1.2%
Arkansas,Prairie County,Rural area,11.1%,3.5%
Texas,Galveston County,Metro area,11.1%,0.8%
New York,Rockland County,Metro area,11.1%,0.7%
Ohio,Morrow County,Metro area,11.1%,2.2%
Alabama,Elmore County,Metro area,11.1%,1.6%
Virginia,Amelia County,Metro area,11.1%,4.5%
Minnesota,Traverse County,Rural area,11.1%,3.3%
Texas,Sterling County,Metro area,11.1%,8.7%
West Virginia,Morgan County,Metro area,11.1%,3.1%
Wisconsin,Crawford County,Rural area,11.1%,1.7%
Idaho,Benewah County,Rural area,11.1%,2.4%
South Carolina,Richland County,Metro area,11.1%,0.7%
Virginia,Accomack County,Rural area,11.1%,1.8%
Texas,Bosque County,Rural area,11.1%,2.0%
Colorado,Morgan County,Small town,11.1%,2.4%
Illinois,Stark County,Metro area,11.1%,2.3%
Delaware,Sussex County,Metro area,11.0%,0.9%
Alabama,Tuscaloosa County,Metro area,11.0%,0.8%
Montana,Cascade County,Metro area,11.0%,1.2%
New York,Albany County,Metro area,11.0%,0.8%
Michigan,Hillsdale County,Small town,11.0%,1.5%
Texas,Castro County,Rural area,11.0%,3.9%
Tennessee,Sevier County,Small town,11.0%,1.4%
Iowa,Shelby County,Rural area,11.0%,4.6%
Texas,Coryell County,Metro area,11.0%,1.8%
Iowa,Muscatine County,Small town,11.0%,2.0%
Michigan,Cheboygan County,Rural area,11.0%,1.5%
North Carolina,Cherokee County,Rural area,11.0%,2.1%
New York,Wayne County,Metro area,11.0%,1.0%
Mississippi,Oktibbeha County,Small town,11.0%,2.0%
Ohio,Logan County,Small town,11.0%,1.6%
Indiana,Huntington County,Small town,11.0%,1.6%
Tennessee,Montgomery County,Metro area,10.9%,1.0%
Michigan,Macomb County,Metro area,10.9%,0.4%
Arkansas,Calhoun County,Small town,10.9%,4.0%
Texas,Baylor County,Rural area,10.9%,4.4%
North Carolina,Transylvania County,Small town,10.9%,2.9%
Indiana,Newton County,Metro area,10.9%,3.0%
Arkansas,Pulaski County,Metro area,10.9%,0.9%
Kentucky,Jessamine County,Metro area,10.9%,1.3%
Texas,Mills County,Rural area,10.9%,4.3%
Nebraska,Dakota County,Metro area,10.9%,3.4%
Utah,Duchesne County,Rural area,10.9%,1.7%
Oklahoma,Custer County,Small town,10.9%,2.5%
California,Yolo County,Metro area,10.9%,0.8%
South Carolina,Anderson County,Metro area,10.9%,0.9%
Arkansas,Lincoln County,Metro area,10.9%,2.9%
Iowa,Pottawattamie County,Metro area,10.9%,1.1%
Nevada,Humboldt County,Small town,10.9%,2.9%
West Virginia,Tucker County,Rural area,10.9%,2.7%
Tennessee,Hamilton County,Metro area,10.9%,0.6%
Missouri,Pettis County,Small town,10.9%,1.4%
Minnesota,Mower County,Small town,10.9%,1.8%
Ohio,Noble County,Rural area,10.9%,3.1%
Texas,Ector County,Metro area,10.8%,1.4%
Ohio,Franklin County,Metro area,10.8%,0.4%
North Carolina,Mitchell County,Rural area,10.8%,2.7%
Wisconsin,Douglas County,Metro area,10.8%,1.6%
Ohio,Knox County,Small town,10.8%,1.6%
Idaho,Twin Falls County,Metro area,10.8%,1.5%
South Dakota,Walworth County,Rural area,10.8%,3.6%
Alabama,Marshall County,Small town,10.8%,1.0%
Kentucky,Trimble County,Rural area,10.8%,3.9%
Iowa,Scott County,Metro area,10.8%,0.9%
Minnesota,Watonwan County,Rural area,10.8%,3.3%
Minnesota,Cass County,Small town,10.8%,0.9%
Texas,Mitchell County,Rural area,10.8%,4.6%
Texas,McMullen County,Rural area,10.8%,12.5%
Arkansas,Union County,Small town,10.7%,1.7%
Colorado,San Juan County,Rural area,10.7%,8.4%
Mississippi,Pontotoc County,Small town,10.7%,2.3%
Arkansas,Crawford County,Metro area,10.7%,1.6%
Mississippi,Prentiss County,Small town,10.7%,2.7%
Ohio,Erie County,Small town,10.7%,1.6%
Ohio,Champaign County,Small town,10.7%,1.6%
Pennsylvania,York County,Metro area,10.7%,0.6%
Kentucky,Meade County,Metro area,10.7%,2.2%
Utah,Wayne County,Rural area,10.7%,4.5%
Washington,Columbia County,Rural area,10.7%,3.6%
Arizona,Pinal County,Metro area,10.7%,0.6%
Pennsylvania,Dauphin County,Metro area,10.7%,0.7%
Georgia,Houston County,Metro area,10.7%,1.3%
Indiana,Parke County,Metro area,10.7%,3.0%
Missouri,Vernon County,Rural area,10.7%,2.4%
Texas,Hall County,Rural area,10.7%,3.6%
California,Sierra County,Rural area,10.7%,6.7%
Iowa,Wayne County,Rural area,10.7%,2.3%
Indiana,Howard County,Metro area,10.7%,1.1%
Iowa,Lucas County,Rural area,10.7%,3.1%
Missouri,Maries County,Rural area,10.7%,3.2%
Oklahoma,Garvin County,Rural area,10.7%,1.3%
Texas,Runnels County,Rural area,10.7%,2.9%
Mississippi,Grenada County,Small town,10.7%,2.7%
Kansas,Cowley County,Small town,10.7%,1.7%
Illinois,Randolph County,Rural area,10.7%,1.5%
New York,Warren County,Metro area,10.7%,1.2%
Colorado,Dolores County,Rural area,10.7%,4.9%
Iowa,Polk County,Metro area,10.7%,0.6%
Kentucky,Owen County,Rural area,10.7%,2.9%
Alaska,Matanuska-Susitna Borough,Metro area,10.7%,0.9%
Illinois,Menard County,Metro area,10.6%,2.2%
North Carolina,Clay County,Rural area,10.6%,3.6%
Texas,Bowie County,Metro area,10.6%,1.4%
Pennsylvania,Union County,Small town,10.6%,2.1%
Montana,Rosebud County,Rural area,10.6%,3.5%
Kansas,Finney County,Small town,10.6%,2.6%
Texas,Lampasas County,Metro area,10.6%,2.2%
South Dakota,Butte County,Rural area,10.6%,3.5%
North Carolina,Lincoln County,Metro area,10.6%,1.4%
Minnesota,Becker County,Rural area,10.6%,1.1%
Illinois,Marshall County,Metro area,10.6%,1.7%
Indiana,Greene County,Rural area,10.6%,1.4%
Illinois,Champaign County,Metro area,10.6%,0.9%
Missouri,Sullivan County,Rural area,10.6%,2.9%
Michigan,Presque Isle County,Rural area,10.6%,1.9%
Ohio,Madison County,Metro area,10.6%,1.8%
Florida,Lake County,Metro area,10.6%,0.8%
Michigan,Isabella County,Small town,10.6%,1.1%
Nevada,Washoe County,Metro area,10.6%,0.6%
Alabama,Cullman County,Small town,10.6%,1.3%
Virginia,Rockbridge County,Rural area,10.6%,2.9%
Illinois,Henry County,Metro area,10.5%,1.8%
Texas,La Salle County,Rural area,10.5%,5.3%
Arkansas,Independence County,Small town,10.5%,1.9%
Mississippi,George County,Rural area,10.5%,2.6%
Indiana,Vanderburgh County,Metro area,10.5%,0.9%
Iowa,Fayette County,Rural area,10.5%,1.6%
California,Plumas County,Rural area,10.5%,2.6%
Kentucky,Boyle County,Small town,10.5%,1.7%
Ohio,Portage County,Metro area,10.5%,1.0%
Indiana,LaPorte County,Metro area,10.5%,1.3%
Texas,Throckmorton County,Rural area,10.5%,4.2%
Iowa,Keokuk County,Rural area,10.5%,1.7%
Illinois,Kane County,Metro area,10.5%,0.6%
Indiana,Benton County,Metro area,10.5%,2.2%
Alabama,Autauga County,Metro area,10.5%,1.5%
Wisconsin,Marinette County,Small town,10.5%,1.4%
Michigan,Monroe County,Metro area,10.5%,1.0%
Iowa,Humboldt County,Rural area,10.5%,2.3%
Illinois,Clark County,Rural area,10.5%,2.1%
Louisiana,Bossier Parish,Metro area,10.5%,1.4%
Ohio,Huron County,Small town,10.5%,1.3%
Nebraska,Sheridan County,Rural area,10.5%,3.0%
Nebraska,Frontier County,Rural area,10.5%,4.6%
Nevada,Storey County,Metro area,10.5%,5.8%
Texas,Hamilton County,Rural area,10.5%,3.9%
Oklahoma,Grant County,Rural area,10.5%,4.3%
Colorado,Moffat County,Small town,10.5%,2.6%
Vermont,Washington County,Small town,10.5%,1.4%
Texas,Andrews County,Small town,10.5%,3.9%
Massachusetts,Plymouth County,Metro area,10.5%,0.6%
Kentucky,Daviess County,Metro area,10.4%,1.0%
Texas,Dallas County,Metro area,10.4%,0.3%
Tennessee,Washington County,Metro area,10.4%,1.2%
New York,Rensselaer County,Metro area,10.4%,0.9%
Alabama,Coosa County,Small town,10.4%,3.2%
Wisconsin,Eau Claire County,Metro area,10.4%,1.2%
Texas,Cooke County,Small town,10.4%,2.0%
Kentucky,Jefferson County,Metro area,10.4%,0.4%
Iowa,Marshall County,Small town,10.4%,1.5%
West Virginia,Putnam County,Metro area,10.4%,1.8%
Maryland,Baltimore County,Metro area,10.4%,0.4%
Colorado,Hinsdale County,Rural area,10.4%,7.3%
Virginia,Amherst County,Metro area,10.4%,2.0%
Nebraska,Adams County,Small town,10.4%,1.6%
Tennessee,Coffee County,Small town,10.4%,1.6%
Iowa,Monona County,Rural area,10.4%,1.9%
Indiana,Jefferson County,Small town,10.4%,2.4%
Nebraska,Scotts Bluff County,Small town,10.4%,1.8%
Iowa,Palo Alto County,Rural area,10.4%,2.5%
Texas,Yoakum County,Rural area,10.4%,5.6%
Nebraska,Lincoln County,Small town,10.4%,1.9%
Wisconsin,Clark County,Rural area,10.3%,1.0%
Iowa,Poweshiek County,Rural area,10.3%,2.4%
Missouri,Pike County,Rural area,10.3%,2.2%
South Carolina,Lancaster County,Metro area,10.3%,1.8%
Wisconsin,Lincoln County,Metro area,10.3%,1.4%
Hawaii,Kauai County,Small town,10.3%,1.6%
Kentucky,Mercer County,Rural area,10.3%,2.7%
Connecticut,New London County,Metro area,10.3%,0.7%
Illinois,Brown County,Rural area,10.3%,3.4%
Iowa,Crawford County,Rural area,10.3%,2.9%
Pennsylvania,Juniata County,Rural area,10.3%,1.4%
New York,Ulster County,Metro area,10.3%,0.8%
Virginia,Campbell County,Metro area,10.3%,1.4%
Illinois,Washington County,Rural area,10.3%,2.0%
Virginia,Radford city,Metro area,10.3%,4.0%
Mississippi,Smith County,Rural area,10.3%,3.4%
Oklahoma,Roger Mills County,Rural area,10.3%,3.0%
Pennsylvania,Columbia County,Metro area,10.3%,1.3%
Minnesota,Pine County,Rural area,10.3%,1.4%
Texas,Swisher County,Rural area,10.3%,4.5%
Vermont,Orange County,Small town,10.2%,1.3%
Iowa,Buena Vista County,Small town,10.2%,2.3%
Florida,Palm Beach County,Metro area,10.2%,0.4%
Minnesota,St. Louis County,Metro area,10.2%,0.6%
Washington,Chelan County,Metro area,10.2%,1.4%
Louisiana,St. Charles Parish,Metro area,10.2%,1.8%
North Carolina,Pamlico County,Metro area,10.2%,2.4%
Colorado,Montrose County,Small town,10.2%,1.5%
Minnesota,Itasca County,Small town,10.2%,1.2%
Idaho,Elmore County,Small town,10.2%,2.0%
Pennsylvania,Franklin County,Metro area,10.2%,1.0%
Kansas,Neosho County,Rural area,10.2%,2.3%
Missouri,Caldwell County,Metro area,10.2%,2.1%
California,Los Angeles County,Metro area,10.2%,0.1%
Michigan,Ontonagon County,Rural area,10.2%,1.7%
Indiana,Rush County,Rural area,10.2%,2.6%
Michigan,Lapeer County,Metro area,10.2%,1.1%
Arizona,Coconino County,Metro area,10.2%,1.0%
Ohio,Paulding County,Rural area,10.2%,2.2%
Kansas,Sedgwick County,Metro area,10.2%,0.7%
Florida,Brevard County,Metro area,10.2%,0.6%
Kentucky,McCracken County,Small town,10.2%,1.3%
Colorado,Chaffee County,Rural area,10.2%,3.8%
Colorado,Logan County,Small town,10.2%,3.1%
Texas,Medina County,Metro area,10.2%,2.3%
Idaho,Boundary County,Rural area,10.1%,2.9%
Michigan,Houghton County,Small town,10.1%,1.1%
Illinois,Tazewell County,Metro area,10.1%,0.9%
Texas,Tarrant County,Metro area,10.1%,0.4%
Ohio,Defiance County,Small town,10.1%,1.8%
Arkansas,Perry County,Metro area,10.1%,2.6%
Georgia,Catoosa County,Metro area,10.1%,2.0%
Virginia,Winchester city,Metro area,10.1%,2.0%
Virginia,Wythe County,Rural area,10.1%,1.7%
Maryland,Prince George's County,Metro area,10.1%,0.5%
Oklahoma,Alfalfa County,Rural area,10.1%,2.8%
Idaho,Bingham County,Small town,10.1%,1.6%
Missouri,Perry County,Rural area,10.1%,2.4%
Georgia,Gordon County,Small town,10.1%,2.0%
South Carolina,Kershaw County,Metro area,10.1%,1.7%
Kentucky,Allen County,Metro area,10.1%,2.2%
Indiana,Clay County,Metro area,10.1%,2.0%
Michigan,Kalamazoo County,Metro area,10.1%,0.8%
Virginia,Greene County,Metro area,10.1%,2.7%
Missouri,Jackson County,Metro area,10.1%,0.4%
Iowa,Marion County,Small town,10.1%,1.5%
Nebraska,Hall County,Metro area,10.1%,1.5%
Minnesota,Mille Lacs County,Metro area,10.1%,1.7%
Michigan,Dickinson County,Small town,10.1%,1.6%
Oregon,Benton County,Metro area,10.1%,1.3%
Texas,Clay County,Metro area,10.1%,2.4%
North Carolina,Durham County,Metro area,10.1%,0.7%
North Carolina,Davie County,Metro area,10.0%,2.2%
Minnesota,Stevens County,Rural area,10.0%,2.2%
Wisconsin,Chippewa County,Metro area,10.0%,1.3%
Tennessee,Knox County,Metro area,10.0%,0.6%
Washington,Kitsap County,Metro area,10.0%,0.6%
Kentucky,Calloway County,Small town,10.0%,1.9%
Illinois,Douglas County,Rural area,10.0%,2.2%
Wisconsin,Vilas County,Rural area,10.0%,1.6%
Georgia,Union County,Rural area,10.0%,2.6%
Alabama,Blount County,Metro area,10.0%,2.0%
Michigan,Lenawee County,Small town,10.0%,1.0%
Iowa,Cerro Gordo County,Small town,10.0%,1.6%
Colorado,Rio Blanco County,Rural area,10.0%,3.7%
Idaho,Jerome County,Metro area,10.0%,2.2%
Iowa,Calhoun County,Rural area,10.0%,2.0%
Mississippi,Greene County,Rural area,10.0%,3.2%
Indiana,Miami County,Small town,10.0%,1.8%
Colorado,Kit Carson County,Rural area,10.0%,2.8%
Vermont,Rutland County,Small town,10.0%,1.4%
Indiana,Henry County,Small town,10.0%,1.3%
Nebraska,Deuel County,Rural area,10.0%,4.5%
Texas,Grayson County,Metro area,10.0%,1.1%
Utah,Emery County,Rural area,9.9%,2.2%
Utah,Iron County,Small town,9.9%,1.8%
Texas,Dallam County,Rural area,9.9%,4.8%
Arkansas,Van Buren County,Rural area,9.9%,2.4%
Texas,Kaufman County,Metro area,9.9%,1.3%
Missouri,Cooper County,Metro area,9.9%,1.9%
Oklahoma,Pawnee County,Metro area,9.9%,1.5%
Pennsylvania,Perry County,Metro area,9.9%,1.4%
Colorado,Teller County,Metro area,9.9%,2.5%
Florida,Santa Rosa County,Metro area,9.9%,1.3%
Oklahoma,Grady County,Metro area,9.9%,1.1%
Texas,Brewster County,Rural area,9.9%,3.2%
Montana,Valley County,Rural area,9.9%,3.2%
Florida,Wakulla County,Metro area,9.9%,2.7%
Iowa,Fremont County,Rural area,9.9%,2.1%
New York,Columbia County,Small town,9.9%,1.1%
Missouri,DeKalb County,Metro area,9.9%,3.5%
Montana,Toole County,Rural area,9.9%,4.0%
Virginia,Fredericksburg city,Metro area,9.8%,2.1%
Texas,Glasscock County,Rural area,9.8%,11.5%
Idaho,Bonneville County,Metro area,9.8%,1.2%
Pennsylvania,Northampton County,Metro area,9.8%,0.7%
Michigan,Kent County,Metro area,9.8%,0.5%
New York,Seneca County,Small town,9.8%,1.8%
Montana,Big Horn County,Rural area,9.8%,3.5%
Kentucky,Shelby County,Metro area,9.8%,2.0%
Alaska,Kodiak Island Borough,Rural area,9.8%,3.3%
South Carolina,Lexington County,Metro area,9.8%,0.8%
North Carolina,Macon County,Rural area,9.8%,2.0%
Virginia,Manassas Park city,Metro area,9.8%,5.2%
Tennessee,Putnam County,Small town,9.8%,1.2%
Oklahoma,Woodward County,Small town,9.8%,2.4%
Louisiana,Ascension Parish,Metro area,9.8%,1.4%
Kentucky,Ohio County,Rural area,9.8%,1.8%
Arkansas,Boone County,Small town,9.8%,1.8%
Idaho,Fremont County,Small town,9.7%,2.5%
Kansas,Atchison County,Small town,9.7%,2.9%
Missouri,Pulaski County,Small town,9.7%,2.2%
Washington,Wahkiakum County,Rural area,9.7%,3.6%
North Carolina,Brunswick County,Metro area,9.7%,1.0%
Iowa,Jackson County,Rural area,9.7%,2.1%
Arkansas,Lonoke County,Metro area,9.7%,1.3%
New York,Otsego County,Small town,9.7%,1.1%
California,Riverside County,Metro area,9.7%,0.3%
Texas,McCulloch County,Rural area,9.7%,4.8%
Missouri,Clark County,Small town,9.7%,2.7%
Idaho,Gem County,Metro area,9.7%,2.7%
Georgia,White County,Rural area,9.7%,2.8%
Maryland,St. Mary's County,Metro area,9.7%,1.3%
Oklahoma,Ellis County,Small town,9.7%,3.2%
South Dakota,Miner County,Rural area,9.7%,4.2%
Utah,Piute County,Rural area,9.7%,3.9%
Minnesota,Martin County,Small town,9.7%,2.4%
Kentucky,Hancock County,Metro area,9.7%,2.3%
South Carolina,Spartanburg County,Metro area,9.7%,0.6%
Indiana,Owen County,Metro area,9.7%,2.2%
Wisconsin,Manitowoc County,Small town,9.7%,1.1%
Indiana,St. Joseph County,Metro area,9.7%,0.7%
Oregon,Clackamas County,Metro area,9.6%,0.7%
Montana,Pondera County,Rural area,9.6%,2.3%
Missouri,Webster County,Metro area,9.6%,1.8%
Oregon,Deschutes County,Metro area,9.6%,0.9%
Indiana,Wabash County,Small town,9.6%,1.7%
New York,Livingston County,Metro area,9.6%,1.0%
Illinois,Shelby County,Rural area,9.6%,1.8%
Virginia,Shenandoah County,Rural area,9.6%,1.5%
North Dakota,Emmons County,Rural area,9.6%,3.5%
Oklahoma,Rogers County,Metro area,9.6%,0.8%
Florida,Nassau County,Metro area,9.6%,1.3%
Kentucky,Washington County,Rural area,9.6%,2.4%
New York,Orange County,Metro area,9.6%,0.7%
Colorado,Mesa County,Metro area,9.6%,1.1%
Colorado,Washington County,Rural area,9.6%,3.0%
Washington,Kittitas County,Small town,9.6%,1.4%
Tennessee,Lincoln County,Rural area,9.6%,1.8%
Georgia,Harris County,Metro area,9.6%,1.9%
Colorado,Mineral County,Rural area,9.6%,7.6%
Virginia,Prince George County,Metro area,9.6%,2.4%
Ohio,Fairfield County,Metro area,9.6%,1.1%
Wisconsin,Sauk County,Small town,9.6%,1.2%
Texas,Smith County,Metro area,9.5%,0.8%
Missouri,Cape Girardeau County,Metro area,9.5%,1.3%
Kansas,Reno County,Small town,9.5%,1.2%
Kansas,Sumner County,Metro area,9.5%,2.5%
Mississippi,Jackson County,Metro area,9.5%,1.0%
Texas,Knox County,Rural area,9.5%,3.5%
Idaho,Lewis County,Rural area,9.5%,2.2%
Maryland,Worcester County,Metro area,9.5%,1.3%
Idaho,Lincoln County,Rural area,9.5%,3.4%
Virginia,Alleghany County,Rural area,9.5%,2.2%
Alaska,Kenai Peninsula Borough,Rural area,9.5%,1.3%
Michigan,Menominee County,Small town,9.5%,1.6%
Illinois,McLean County,Metro area,9.5%,0.8%
Vermont,Windsor County,Small town,9.5%,1.3%
Arkansas,Cleburne County,Rural area,9.5%,2.0%
Texas,Ochiltree County,Rural area,9.5%,3.5%
Missouri,Ray County,Metro area,9.5%,2.3%
Georgia,Clarke County,Metro area,9.5%,1.1%
Kansas,Scott County,Rural area,9.5%,5.9%
Indiana,Fountain County,Rural area,9.5%,2.2%
Wisconsin,Shawano County,Small town,9.5%,1.0%
Tennessee,Moore County,Small town,9.5%,4.0%
Texas,Callahan County,Metro area,9.5%,2.4%
Iowa,Pocahontas County,Rural area,9.5%,2.4%
Iowa,Henry County,Rural area,9.5%,1.6%
Michigan,Iron County,Rural area,9.4%,1.9%
Nebraska,Thayer County,Rural area,9.4%,2.2%
Nevada,Lincoln County,Rural area,9.4%,4.9%
Missouri,Saline County,Small town,9.4%,2.2%
Iowa,Tama County,Rural area,9.4%,1.8%
Tennessee,Dickson County,Metro area,9.4%,1.4%
Indiana,Dearborn County,Metro area,9.4%,1.7%
Georgia,Bartow County,Metro area,9.4%,1.3%
Michigan,Antrim County,Rural area,9.4%,1.4%
Nebraska,Nance County,Rural area,9.4%,3.3%
Kentucky,Hickman County,Rural area,9.4%,4.0%
Wisconsin,Lafayette County,Rural area,9.4%,1.0%
Kansas,Bourbon County,Rural area,9.4%,2.4%
Virginia,Lancaster County,Rural area,9.4%,3.3%
Indiana,Allen County,Metro area,9.4%,0.5%
Georgia,Greene County,Rural area,9.3%,2.1%
Georgia,Jackson County,Small town,9.3%,1.6%
Georgia,Banks County,Rural area,9.3%,1.9%
Ohio,Hancock County,Small town,9.3%,1.1%
Alabama,St. Clair County,Metro area,9.3%,1.3%
